183,265,영상 및 음향 기기 제조업,26,3
184,271,의료용 기기 제조업,27,3
185,272,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",27,3
186,273,사진장비 및 광학 기기 제조업,27,3
187,301,자동차용 엔진 및 자동차 제조업,30,3
188,302,자동차 차체 및 트레일러 제조업,30,3
189,304,자동차 재제조 부품 제조업,30,3
190,311,선박 및 보트 건조업,31,3
191,312,철도장비 제조업,31,3
192,313,"항공기, 우주선 및 부품 제조업",31,3
193,319,그 외 기타 운송장비 제조업,31,3
194,320,가구 제조업,32,3
195,331,귀금속 및 장신용품 제조업,33,3
196,332,악기 제조업,33,3
197,333,운동 및 경기용구 제조업,33,3
198,334,"인형, 장난감 및 오락용품 제조업",33,3
199,339,그 외 기타 제품 제조업,33,3
200,759,기타 사업 지원 서비스업,75,3
201,340,산업용 기계 및 장비 수리업,34,3
202,351,전기업,35,3
203,352,연료용 가스 제조 및 배관공급업,35,3
204,353,"증기, 냉ㆍ온수 및 공기 조절 공급업",35,3
205,383,"해체, 선별 및 원료 재생업",38,3
206,390,환경 정화 및 복원업,39,3
207,360,수도업,36,3
208,370,"하수, 폐수 및 분뇨 처리업",37,3
209,381,"폐기물 수집, 운반업",38,3
210,382,폐기물 처리업,38,3
211,411,건물 건설업,41,3
212,681,부동산 임대 및 공급업,68,3
213,412,토목 건설업,41,3
214,424,실내건축 및 건축마무리 공사업,42,3
215,421,기반조성 및 시설물 축조관련 전문공사업,42,3
216,422,건물설비 설치 공사업,42,3
217,425,시설물 유지관리 공사업,42,3
218,423,전기 및 통신 공사업,42,3
219,426,건설장비 운영업,42,3
220,451,자동차 판매업,45,3
221,452,자동차 부품 및 내장품 판매업,45,3
222,453,모터사이클 및 부품 판매업,45,3
223,477,연료 소매업,47,3
224,461,상품 중개업,46,3
225,462,산업용 농ㆍ축산물 및 동ㆍ식물 도매업,46,3
226,463,음ㆍ식료품 및 담배 도매업,46,3
227,464,생활용품 도매업,46,3
228,465,기계장비 및 관련 물품 도매업,46,3
229,466,"건축 자재, 철물 및 난방장치 도매업",46,3
230,467,기타 전문 도매업,46,3
231,468,상품 종합 도매업,46,3
232,471,종합 소매업,47,3
233,472,음ㆍ식료품 및 담배 소매업,47,3
234,475,기타 생활용품 소매업,47,3
235,478,기타 상품 전문 소매업,47,3
236,472,음료 소매업,47,3
237,479,무점포 소매업,47,3
238,474,"섬유, 의복, 신발 및 가죽제품 소매업",47,3
239,473,가전제품 및 정보 통신장비 소매업,47,3
240,476,"문화, 오락 및 여가 용품 소매업",47,3
241,492,육상 여객 운송업,49,3
242,491,철도 운송업,49,3
243,493,도로 화물 운송업,49,3
244,529,기타 운송관련 서비스업,52,3
245,495,파이프라인 운송업,49,3
246,501,해상 운송업,50,3
247,502,내륙 수상 및 항만 내 운송업,50,3
248,511,항공 여객 운송업,51,3
249,512,항공 화물 운송업,51,3
250,521,보관 및 창고업,52,3
251,494,소화물 전문 운송업,49,3
252,551,일반 및 생활 숙박시설 운영업,55,3
253,559,기타 숙박업,55,3
254,561,음식점업,56,3
255,562,주점 및 비알코올 음료점업,56,3
256,581,"서적, 잡지 및 기타 인쇄물 출판업",58,3
257,592,오디오물 출판 및 원판 녹음업,59,3
258,611,공영 우편업,61,3
259,612,전기 통신업,61,3
260,631,"자료 처리, 호스팅, 포털 및 기타 인터넷 정보 매개 서비스업",63,3
261,620,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",62,3
262,582,소프트웨어 개발 및 공급업,58,3
263,603,영상·오디오물 제공 서비스업,60,3
264,639,기타 정보 서비스업,63,3
